zip_code,latitude,longitude,distance,duration
20001,38.910717,-77.01666,6.1 mi,13 mins
20002,38.908089000000004,-76.976663,9.4 mi,25 mins
20003,38.877752,-76.986546,5.7 mi,13 mins
20004,38.892444,-77.020588,4.3 mi,9 mins
20005,38.904224,-77.031798,4.6 mi,12 mins
20006,38.895101000000004,-77.039776,3.0 mi,10 mins
20007,38.914063,-77.077395,4.0 mi,14 mins
20008,38.935771,-77.059213,6.8 mi,17 mins
20009,38.920392,-77.038564,4.8 mi,21 mins
20010,38.932965,-77.030066,6.7 mi,24 mins
20011,38.950224,-77.019714,10.0 mi,26 mins
20012,38.97827,-77.02853,10.9 mi,27 mins
20015,38.96829,-77.064974,7.6 mi,28 mins
20016,38.93684,-77.093123,6.5 mi,20 mins
20017,38.937006,-76.993674,8.6 mi,23 mins
20018,38.930038,-76.969962,9.3 mi,23 mins
20019,38.892782000000004,-76.94051,10.0 mi,19 mins
20020,38.862289000000004,-76.97296,7.1 mi,17 mins
20024,38.870368,-77.036701,3.4 mi,7 mins
20032,38.830147,-77.009214,9.2 mi,17 mins
20036,38.906861,-77.041385,3.8 mi,15 mins
20037,38.898708,-77.053967,3.4 mi,8 mins
20105,38.960832,-77.60435,34.2 mi,47 mins
20106,38.694356,-77.999264,60.5 mi,1 hour 13 mins
20109,38.793688,-77.53645,30.3 mi,35 mins
20110,38.746216,-77.489106,33.8 mi,46 mins
20111,38.753198,-77.429954,30.7 mi,43 mins
20112,38.66484,-77.4339,39.1 mi,47 mins
20115,38.837836,-77.898614,51.5 mi,54 mins
20117,38.995028999999995,-77.736967,43.4 mi,1 hour 4 mins
20119,38.626106,-77.625141,48.1 mi,59 mins
20120,38.859809999999996,-77.466616,26.5 mi,34 mins
20121,38.815894,-77.460849,26.7 mi,33 mins
20124,38.775973,-77.388066,29.3 mi,37 mins
20129,39.163444,-77.601207,44.5 mi,49 mins
20130,39.030553999999995,-77.936754,64.4 mi,1 hour 7 mins
20132,39.173958,-77.73253,51.4 mi,57 mins
20135,39.090631,-77.888766,59.9 mi,1 hour 9 mins
20136,38.736614,-77.546642,38.3 mi,46 mins
20137,38.808712,-77.725592,42.2 mi,50 mins
20141,39.10795,-77.784622,53.5 mi,57 mins
20143,38.848754,-77.566119,34.5 mi,42 mins
20144,38.929195,-77.93867900000001,56.3 mi,58 mins
20147,39.039572,-77.481613,31.8 mi,40 mins
20148,39.001489,-77.515588,30.8 mi,35 mins
20151,38.886153,-77.450992,27.1 mi,32 mins
20152,38.892216999999995,-77.509827,29.4 mi,37 mins
20155,38.813292,-77.633941,36.7 mi,42 mins
20158,39.139526000000004,-77.654863,45.0 mi,47 mins
20164,39.014127,-77.399912,25.3 mi,36 mins
20165,39.047357,-77.386479,27.1 mi,39 mins
20166,38.982834000000004,-77.471524,27.9 mi,32 mins
20169,38.869358,-77.639786,40.0 mi,45 mins
20170,38.983721,-77.382758,24.4 mi,32 mins
20171,38.926604,-77.391188,24.1 mi,31 mins
20175,39.052271,-77.603577,40.5 mi,45 mins
20176,39.160038,-77.521852,44.0 mi,50 mins
20180,39.268742,-77.629255,52.9 mi,1 hour 2 mins
20181,38.690627,-77.573274,41.4 mi,51 mins
20184,39.009648,-77.871797,62.7 mi,1 hour 10 mins
20186,38.705946000000004,-77.849508,49.2 mi,1 hour 0 mins
20187,38.722685999999996,-77.741378,45.2 mi,53 mins
20190,38.960974,-77.342467,21.1 mi,28 mins
20191,38.93112,-77.351394,22.8 mi,30 mins
20194,38.982667,-77.341454,22.2 mi,29 mins
20197,39.192409,-77.6253,46.8 mi,53 mins
20198,38.87818,-77.7499,47.6 mi,51 mins
22003,38.837759,-77.210328,15.7 mi,21 mins
22015,38.785306,-77.286075,18.4 mi,27 mins
22025,38.597162,-77.34442,30.3 mi,37 mins
22026,38.567808,-77.296681,30.1 mi,36 mins
22027,38.895034,-77.220454,11.7 mi,17 mins
22030,38.837256,-77.342008,20.1 mi,26 mins
22031,38.858907,-77.261358,15.9 mi,22 mins
22032,38.820952,-77.288944,17.7 mi,26 mins
22033,38.879366,-77.376768,21.1 mi,27 mins
22039,38.754931,-77.310158,23.2 mi,30 mins
22041,38.851211,-77.14477,7.9 mi,17 mins
22042,38.862956,-77.193872,10.0 mi,20 mins
22043,38.899288,-77.191356,10.7 mi,15 mins
22044,38.861478,-77.155248,7.8 mi,17 mins
22046,38.88828,-77.18096,10.9 mi,17 mins
22060,38.710648,-77.158488,17.0 mi,23 mins
22066,39.004448,-77.308098,19.5 mi,30 mins
22079,38.6765,-77.206884,19.8 mi,27 mins
22101,38.935853,-77.162141,9.2 mi,14 mins
22102,38.959942,-77.224902,14.0 mi,19 mins
22124,38.893116,-77.328886,22.2 mi,31 mins
22134,38.563765999999994,-77.422682,39.1 mi,45 mins
22150,38.76113,-77.186046,13.2 mi,20 mins
22151,38.801644,-77.210894,12.7 mi,16 mins
22152,38.776093,-77.23345,15.0 mi,23 mins
22153,38.745468,-77.232529,18.4 mi,24 mins
22172,38.563734000000004,-77.356151,32.6 mi,38 mins
22180,38.897426,-77.252868,13.9 mi,23 mins
22181,38.904608,-77.295559,17.1 mi,25 mins
22182,38.936147999999996,-77.267598,15.3 mi,18 mins
22191,38.623346,-77.26364,25.8 mi,33 mins
22192,38.676479,-77.31705,25.6 mi,34 mins
22193,38.642531,-77.348454,28.7 mi,36 mins
22201,38.886594,-77.094726,3.5 mi,10 mins
22202,38.859829,-77.053278,3.4 mi,7 mins
22203,38.874992999999996,-77.122609,6.5 mi,13 mins
22204,38.861504,-77.100112,5.7 mi,12 mins
22205,38.882248,-77.141056,6.6 mi,13 mins
22206,38.840858,-77.08902,4.8 mi,10 mins
22207,38.909812,-77.12016,5.9 mi,13 mins
22209,38.892914,-77.072571,2.0 mi,5 mins
22211,38.876996999999996,-77.070852,1.6 mi,8 mins
22213,38.895782,-77.162568,8.4 mi,15 mins
22214,38.8787,-77.1155,5.7 mi,11 mins
22301,38.818362,-77.060432,6.9 mi,15 mins
22302,38.830715,-77.093618,5.5 mi,10 mins
22303,38.790068,-77.081205,9.6 mi,22 mins
22304,38.812166999999995,-77.126406,8.4 mi,13 mins
22305,38.836316,-77.065006,5.3 mi,13 mins
22306,38.759052000000004,-77.087124,12.4 mi,27 mins
22307,38.772065,-77.058721,10.8 mi,24 mins
22308,38.731352,-77.061923,14.0 mi,28 mins
22309,38.718398,-77.107164,20.7 mi,30 mins
