state,zip_code,zip_url,latitude,longitude,population,house_value,household_income
DC,20001,https://www.zip-codes.com/zip-code/20001/zip-code-20001.asp,38.910717,-77.01666,52586,659700,109318
DC,20002,https://www.zip-codes.com/zip-code/20002/zip-code-20002.asp,38.908089,-76.976663,76367,609300,84892
DC,20003,https://www.zip-codes.com/zip-code/20003/zip-code-20003.asp,38.877752,-76.98654600000000,38565,766900,126323
DC,20004,https://www.zip-codes.com/zip-code/20004/zip-code-20004.asp,38.892444,-77.020588,2219,546900,147522
DC,20005,https://www.zip-codes.com/zip-code/20005/zip-code-20005.asp,38.904224,-77.031798,13390,489900,94611
DC,20006,https://www.zip-codes.com/zip-code/20006/zip-code-20006.asp,38.895101,-77.039776,1137,231900,46319
DC,20007,https://www.zip-codes.com/zip-code/20007/zip-code-20007.asp,38.914063,-77.077395,27070,961100,130920
DC,20008,https://www.zip-codes.com/zip-code/20008/zip-code-20008.asp,38.935771,-77.059213,30244,776000,117195
DC,20009,https://www.zip-codes.com/zip-code/20009/zip-code-20009.asp,38.920392,-77.03856400000000,55213,618600,107128
DC,20010,https://www.zip-codes.com/zip-code/20010/zip-code-20010.asp,38.932965,-77.030066,32738,617300,88463
DC,20011,https://www.zip-codes.com/zip-code/20011/zip-code-20011.asp,38.950224,-77.01971400000000,65952,534600,71569
DC,20012,https://www.zip-codes.com/zip-code/20012/zip-code-20012.asp,38.97827,-77.02853,14907,607200,91667
DC,20015,https://www.zip-codes.com/zip-code/20015/zip-code-20015.asp,38.96829,-77.06497400000000,15967,961600,158443
DC,20016,https://www.zip-codes.com/zip-code/20016/zip-code-20016.asp,38.936840000000000,-77.09312300000000,30681,923500,150997
DC,20017,https://www.zip-codes.com/zip-code/20017/zip-code-20017.asp,38.937006,-76.993674,18459,477600,77560
DC,20018,https://www.zip-codes.com/zip-code/20018/zip-code-20018.asp,38.930038,-76.969962,20904,484200,64530
DC,20019,https://www.zip-codes.com/zip-code/20019/zip-code-20019.asp,38.892782,-76.94051,57479,275600,36398
DC,20020,https://www.zip-codes.com/zip-code/20020/zip-code-20020.asp,38.862289,-76.97296,53596,293600,36075
DC,20024,https://www.zip-codes.com/zip-code/20024/zip-code-20024.asp,38.870368,-77.03670100000000,17560,397200,83145
DC,20032,https://www.zip-codes.com/zip-code/20032/zip-code-20032.asp,38.830147,-77.009214,39762,259900,37711
DC,20036,https://www.zip-codes.com/zip-code/20036/zip-code-20036.asp,38.906861,-77.04138500000000,4943,383500,88553
DC,20037,https://www.zip-codes.com/zip-code/20037/zip-code-20037.asp,38.898708,-77.053967,11958,637900,89475
VA,20105,https://www.zip-codes.com/zip-code/20105/zip-code-20105.asp,38.960832,-77.60435,32554,508600,153314
VA,20106,https://www.zip-codes.com/zip-code/20106/zip-code-20106.asp,38.694356,-77.999264,5164,360500,82500
VA,20109,https://www.zip-codes.com/zip-code/20109/zip-code-20109.asp,38.793688,-77.53645,43578,266600,70629
VA,20110,https://www.zip-codes.com/zip-code/20110/zip-code-20110.asp,38.746216,-77.489106,47702,324500,81042
VA,20111,https://www.zip-codes.com/zip-code/20111/zip-code-20111.asp,38.753198,-77.42995400000000,39164,332700,88207
VA,20112,https://www.zip-codes.com/zip-code/20112/zip-code-20112.asp,38.66484000000000,-77.4339,29634,458300,149618
VA,20115,https://www.zip-codes.com/zip-code/20115/zip-code-20115.asp,38.837836000000000,-77.898614,6422,437000,107462
VA,20117,https://www.zip-codes.com/zip-code/20117/zip-code-20117.asp,38.995029,-77.736967,2253,542200,88200
VA,20119,https://www.zip-codes.com/zip-code/20119/zip-code-20119.asp,38.626106,-77.625141,4162,395200,89450
VA,20120,https://www.zip-codes.com/zip-code/20120/zip-code-20120.asp,38.85981,-77.466616,42765,476800,122165
VA,20121,https://www.zip-codes.com/zip-code/20121/zip-code-20121.asp,38.815894,-77.460849,28945,373100,98051
VA,20124,https://www.zip-codes.com/zip-code/20124/zip-code-20124.asp,38.775973,-77.38806600000000,14752,677200,177440
VA,20129,https://www.zip-codes.com/zip-code/20129/zip-code-20129.asp,39.163444,-77.60120700000000,723,745500,250000
VA,20130,https://www.zip-codes.com/zip-code/20130/zip-code-20130.asp,39.030554,-77.93675400000000,330,606300,59719
VA,20132,https://www.zip-codes.com/zip-code/20132/zip-code-20132.asp,39.173958,-77.73253000000000,18094,511100,138687
VA,20135,https://www.zip-codes.com/zip-code/20135/zip-code-20135.asp,39.090631,-77.888766,3082,394100,82000
VA,20136,https://www.zip-codes.com/zip-code/20136/zip-code-20136.asp,38.736614,-77.546642,31487,430700,138496
VA,20137,https://www.zip-codes.com/zip-code/20137/zip-code-20137.asp,38.808712,-77.725592,2013,533300,133250
VA,20141,https://www.zip-codes.com/zip-code/20141/zip-code-20141.asp,39.10795,-77.784622,7927,465600,144971
VA,20143,https://www.zip-codes.com/zip-code/20143/zip-code-20143.asp,38.848754,-77.566119,1107,687500,122656
VA,20144,https://www.zip-codes.com/zip-code/20144/zip-code-20144.asp,38.929195,-77.938679,996,471900,89457
VA,20147,https://www.zip-codes.com/zip-code/20147/zip-code-20147.asp,39.039572,-77.481613,70866,498800,130507
